,link_to_course,skills
207,https://ru.coursera.org/specializations/financial-management,"['financial mismanagement', 'financial management', 'risk management', 'investment', 'financial aid management', 'financial accounting', 'accounting', 'accrual', 'financial statement', 'cash flow', 'cash flow statement', 'stock']"
208,https://ru.coursera.org/specializations/innovation-creativity-entrepreneurship,"['creativity', 'business model', 'entrepreneurship', 'innovation management', 'innovation', 'business value', 'management', 'disruptive innovation', 'emotional intelligence', 'personal productivity', 'adaptibility', 'problem solving']"
209,https://ru.coursera.org/specializations/digital-marketing,"['digital marketing', 'marketing', 'pricing strategies', 'marketing mix', 'product strategies', 'data collection', 'analytics', 'data analysis', 'data visualization (dataviz)', 'marketing analytics', 'marketing performance', 'marketing channel']"
210,https://ru.coursera.org/specializations/managerial-economics-business-analysis,"['economics', 'supply and demand', 'statistical analysis', 'statistical hypothesis testing', 'consumer behaviour', 'cost', 'externality', 'game theory', 'market (economics)', 'interest rate', 'supply chain', 'data analysis']"
211,https://ru.coursera.org/learn/bcg-uva-darden-digital-transformation,"['technology disruption', 'digital trends', 'competitive lifecycle', 'digital strategy', 'strategic management']"
212,https://ru.coursera.org/learn/everyday-leadership-foundation,"['group decision-making', 'managing motivation', 'individual decision-making', 'communication in small groups', 'leadership']"
213,https://ru.coursera.org/learn/data-science-course,"['data science', 'data analysis', 'machine learning', 'project']"
214,https://ru.coursera.org/learn/ai-for-everyone,"['workflow of machine learning projects', 'ai terminology', 'ai strategy', 'workflow of data science projects']"
215,https://ru.coursera.org/learn/negotiation,"['game theory', 'negotiation', 'collaboration', 'principled negotiation']"
216,https://ru.coursera.org/learn/bridging-strategy-design-delivery-gap,"['strategy implementation', 'business strategy', 'management', 'strategic management', 'leadership']"
217,https://ru.coursera.org/learn/strategic-innovation-building-and-sustaining-innovative-organizations,"['business model', 'innovation', 'business value', 'innovation management']"
218,https://ru.coursera.org/learn/uva-darden-getting-started-agile,"['agile user stories', 'user experience design (uxd)', 'agile software development', 'product management', 'software development']"
219,https://ru.coursera.org/learn/digital-transformations,"['business transformation', 'digital strategy', 'business model', 'disruptive innovation']"
