url_for_user,blocks,skills
https://netology.ru/programs/freelance-school,"['Фриланс для начинающих', 'Избегаем выгорания', 'Охота на клиентов', 'Как начать карьеру на фрилансе', 'Личный кабинет']",[]
https://netology.ru/programs/seo-specialist,[],[]
https://netology.ru/programs/smm-free,"['Подготовительный блок', 'Погружение в тему курса', 'SMM-менеджер', 'Таргетированная реклама ', 'Influencer-маркетинг', 'Комьюнити-менеджмент', 'Мессенджер-маркетинг', 'Финальный тест и отзыв о курсе']",[]
https://netology.ru/programs/personal-investments,"['Вводный блок', 'Личные финансы и инвестиции']",[]
https://netology.ru/programs/graphic-design-canva,"['Подготовительный блок', 'Основы работы с редактором', 'Оформление социальных сетей', 'Презентации', 'Корпоративный бренд', 'Продвинутый дизайн', 'Расширенные возможности', 'Отзыв о курсе Основы графического дизайна c Canva']",[]
https://netology.ru/programs/intensiv-o-kontente,"['Подготовка к курсу', 'Курс', 'Финальный тест', 'Дополнительно', 'Продолжение обучения']",[]
https://netology.ru/programs/data-journalist,[],[]
https://netology.ru/programs/soft-skills-dlya-optimizacii-biznes-processov,[],[]
https://netology.ru/programs/python-for-analytics,[],[]
https://netology.ru/programs/gamedesigner,[],[]
https://netology.ru/programs/context-target-mini,"['Вводный блок', 'Основы контекстной рекламы', 'Семантика', 'Создание объявлений ', 'Реклама на поиске', 'Рекламная Сеть Яндекса', 'Яндекс Метрика', 'Подведение итогов курса']",[]
https://netology.ru/programs/vfx,[],[]
https://netology.ru/programs/video-editing,[],[]
https://netology.ru/programs/data-hrda,[],[]
https://netology.ru/programs/videomarketing,[],[]
https://netology.ru/programs/unity-developer,"['Организационный блок', 'Начало работы с Unity и C#']",[]
https://netology.ru/programs/email-gamedesign,[],[]
https://netology.ru/programs/product-analytics,"['Вводный блок', 'Культура решения неопределенных задач', 'Основные метрики (бизнесовые и маркетинговые) и юнит-экономика', 'Аналитические фреймворки и интерфейсы', 'Python для продуктовых аналитиков и основы статистики', 'Основы SQL', 'Дашборды и работа с отчетами', 'Гостевой', 'Дипломный блок']",[]
https://netology.ru/programs/krpro,[],[]
https://netology.ru/programs/probusinessintelligence,[],[]
https://netology.ru/programs/finance-management,['Основы предпринимательства'],[]
https://netology.ru/programs/art_managment,"['Вводный блок', 'Дипломный блок', ' 1. Поиск концепции проекта и его целей', ' 2. Разработка базовой концепции проекта', ' 3. Формирование команды создателей проекта, выбор участников и партнеров', ' 4. Подготовка сопроводительных инфоматериалов. PR проекта.', ' 5. Документация и юридическое обеспечение проекта', ' 6. Подготовка к экспонированию', ' 7. Техническое сопровождение проекта', ' 8. Открытие и сопровождение проекта']",[]
https://netology.ru/programs/illustration,[],[]
https://netology.ru/programs/analyst-bi,[],[]
https://netology.ru/programs/data-foundation,"['Основы аналитики', 'Подарочные записи']",[]
https://netology.ru/programs/data-scientist,[],[]
https://netology.ru/programs/fullstack-web-designer,[],[]
https://netology.ru/programs/excelpbi,"['Power Query', 'Power Pivot', 'Power View', 'Power BI.com', 'Дипломный блок']",[]
https://netology.ru/programs/prezentatsii-i-pyblichnye-vystyplenia-first-grade,"['Вводный блок', 'Основной блок', 'Финальный блок']",[]
https://netology.ru/programs/event-management,"['Подготовительный блок', 'Создание концепции ивента', 'Выбор формата, программы онлайн-мероприятия', 'Работа с командой ', 'Гостевые занятия', 'Сайт мероприятия', 'Стратегия продвижение ивентов', 'Вовлечение аудитории', 'Постпродакшн и оценка эффективности', 'Сайт мероприятия.', 'Мероприятие под задачи бренда', 'Бюджетирование и аналитика', 'Программа ивента', 'Техническое обеспечение проекта', 'Стиль и визуал ивента', 'Soft skills', 'Как учиться онлайн?', 'Дипломный блок']",[]
https://netology.ru/programs/profession-web-designer,[],[]
https://netology.ru/programs/ux-design,[],"['Сегментирование пользователей', 'Разработка сценариев использования', 'Создание информационной архитектуры', 'Анализ потребностей пользователей', 'Построение Customer Journey Map', 'Использование инструментов аналитики', 'Проектирование интерфейсов', 'Прототипирование', 'Юзабилити-исследования', 'Аналитика рынка']"
https://netology.ru/programs/influence-marketing,"['Подготовительный блок', 'Основы influence-маркетинга', 'Поиск и подбор', 'Форматы сотрудничества', 'Взаимодействие с инфлюенсерами', 'Стратегия и креатив', 'Дипломный блок']",[]
https://netology.ru/programs/r-analysis,"['От команды сопровождения', '1. Программируй на R', '2. Сдача итогового проекта']",[]
https://netology.ru/programs/landing-pages,"['Вся информация о вашем обучении', 'Полезные материалы для эффективной учебы и самоорганизации', 'Базовые принципы построения лендинга', 'Структура, текстовый контент и прототип лендинга', 'Работа с платформами-конструкторами', 'Визуальная иерархия лендинга: дизайн и графические составляющие', 'Основные принципы продвижения лендингов', 'Отзыв', 'Учимся учиться. Часть 1', 'Вводный модуль', 'Гостевые занятия', 'Целевая аудитория, УТП и оффер', 'Воркшоп', 'Верстка лендингов', 'Учимся учиться. Часть 2', 'Учимся учиться. Часть 3', 'Учимся учиться. Часть 4', 'Учимся учиться. Часть 5', 'Гостевые занятия', 'Погружение в тему курса', 'Дипломный блок']",[]
https://netology.ru/programs/data-engineer,[],[]
https://netology.ru/programs/financial_basic,"['Вводный блок', 'Как устроены финансы компании']",[]
https://netology.ru/programs/product-marketing-manager,"['Вводный блок', 'Введение в Lean методологию', 'Анализ рынка и ЦА', 'Создание ценности и упаковка смыслов', 'Работа с внешними пользователями продукта ', 'Маркетинг продукта', 'Экономика продукта и ценообразование', 'Аналитика продукта', 'Работа с внутренними пользователями', 'Стратегия выхода продукта на рынок', 'Построение карьеры', 'Дипломная работа']",[]
https://netology.ru/programs/passive-investments,"['Вводный блок', ' 1. Введение в инвестиции', ' 2. Пассивные инвестиции', ' 3. Альтернативные инвестиции', 'Дипломный блок']",[]
https://netology.ru/programs/nodejs,[],[]
https://netology.ru/programs/analytics-for-executives,"['От команды сопровождения', 'Стратегия перехода к data-driven', 'Маркетинговая аналитика', 'Продуктовая аналитика', 'Корпоративная аналитика', 'Построение аналитической инфраструктуры', 'Защита диплома']",[]
https://netology.ru/programs/marketplace_ali,"['Организационное', 'Маркетплейс']",[]
https://netology.ru/programs/react,"['1. Компоненты', '2. Продвинутые техники, одностраничные приложения', '3. Redux - управление состоянием', 'Дипломный блок']",[]
https://netology.ru/programs/art-director,"['1. Арт-дирекшн и подготовительный этап', '2. Разработка дизайн-решения', '3. Генерация идей и разработка креатива', '4. Работа с командой и бюджетом', '5. Финализация проекта', '6. PR и личный бренд', '7. Дипломный блок', '1. Арт-дирекшн и подготовительный этап\t']",[]
https://netology.ru/programs/mobile_product,"['Вводный блок', 'Дипломный блок', 'Основной']",[]
https://netology.ru/programs/razrabotka-spetsproektov,[],[]
https://netology.ru/programs/investments-startup,"['Вводный блок', 'Как привлечь инвестиции в стартап', 'Дипломный блок']",[]
https://netology.ru/programs/tableau,"['1. Основы работы в Tableau', '2. Продвинутая аналитика', '3. Работа с инструментами Professional', '4. Консультация', '5. Дипломный блок']",[]
https://netology.ru/programs/product-web-analysts,[],[]
https://netology.ru/programs/datamarketolog,[],[]
https://netology.ru/programs/journalism-jrn,[' 1'],[]
https://netology.ru/programs/abt,['Расписание курса'],[]
https://netology.ru/programs/data-engineering,[],[]
https://netology.ru/programs/etl-developer,[],[]
https://netology.ru/programs/ui-design,[],"['Разработка дизайн-макета сайта', 'Разработка адаптивного макета', 'Проектирование и дизайн мобильных интерфейсов', 'Умение работать с гайдлайнами для iOS и Android', 'Создание и тестирование прототипов', 'Взаимодействие с разработчиками и контроль качества', 'Анализ путей взаимодействия пользователя', 'Анимация мобильных интерфейсов', 'Создание руководства по стилю', 'Подготовка портфолио и презентация проекта']"
https://netology.ru/programs/deep-learning,['Deep Learning'],[]
